conllu_index,correct,incorrect
17765,W zamian przepisy dotyczące emisji spalin mają być mniej rygorystyczne.,W zamian przepisy dotyczące emisji spalin mają być mniej rygorystyczne.
17768,"Z kolei od stycznia przyszłego roku mają przestać obowiązywać ceny urzędowe leków, a ich wysokość będzie negocjowana między producentami a międzyresortowym zespołem - przewiduje ministerstwo w projekcie przedstawionym wczoraj sejmowej komisji zdrowia.","Z kolei od stycznia przyszłego roku mają przestać obowiązywać ceny urzędowe leków, a ich wysokość będzie negocjowana między producentami a międzyresortowym zespołem - przewiduje ministerstwo w projekcie przedstawionym wczoraj sejmowej komisji zdrowia."
17771,Dzięki wysiłkom promotorów boksu drugi pojedynek udało się sprzedać jako walkę Dobra ze Złem.,Dzięki wysiłkom promotorów boksu drugi pojedynek udało się sprzedać jako walkę Dobra ze Złem.
17785,Ich kampania pomogłaby ją wypromować.,Ich kampania pomogła by ją wypromować.
17790,"Plany zakładają, że w 2000 r. Rosja będzie zarabiać na wysyłaniu satelitów miliard dolarów rocznie.","Plany zakładają, że w 2000 r. Rosja będzie zarabiać na wysyłaniu satelitów miliard dolarów rocznie."
17797,Huta kupuje więc rudy ze Szwecji i RPA.,Huta kupuje więc rudy ze Szwecji i RPA.
17805,"Za każdego uzyskanego z eksportu dolara przedsiębiorcy dostawaliby nie 2,7 zł, jak obecnie, ale powiedzmy 3 zł, a jeszcze lepiej 3,5.","Za każdego uzyskanego z eksportu dolara przedsiębiorcy dostawali by nie 2,7 zł, jak obecnie, ale powiedzmy 3 zł, a jeszcze lepiej 3,5."
17828,"Według nieoficjalnych informacji ""Gazety"" Trybunał, który wielokrotnie upominał się o prawa emerytów, podobnie postąpi i tym razem.","Według nieoficjalnych informacji ""Gazety"" Trybunał, który wielokrotnie upominał się o prawa emerytów, podobnie postąpi i tym razem."
17830,"W Trybunale leży jeszcze wniosek rzecznika praw obywatelskich o wykładnię przepisów emerytalnych, dotyczących tej sprawy.","W Trybunale leży jeszcze wniosek rzecznika praw obywatelskich o wykładnię przepisów emerytalnych, dotyczących tej sprawy."
17843,"Dziś znaczna część naszych rodaków w ogóle nie rozumie, o co w tym wszystkim chodzi.","Dziś znaczna część naszych rodaków w ogóle nie rozumie, o co w tym wszystkim chodzi."
17848,"Niech sam diabeł odprawia, byle po naszemu - taką odpowiedź delegacji ksiądz Pruchnicki przytoczył w kronice.","Niech sam diabeł odprawia, byle po naszemu - taką odpowiedź delegacji ksiądz Pruchnicki przytoczył w kronice."
17857,Głośno wypowiadają swe opinie tylko dziennikarze.,Głośno wypowiadają swe opinie tylko dziennikarze.
17862,"Często stosowne wnioski o wpis hipoteki do księgi wieczystej nieruchomości urzędnicy kierowali do sądu z wielomiesięcznym opóźnieniem, a potem nie interesowali się ich losem.","Często stosowne wnioski o wpis hipoteki do księgi wieczystej nieruchomości urzędnicy kierowali do sądu z wielomiesięcznym opóźnieniem, a potem nie interesowali się ich losem."
17863,Zdaniem ministerstwa zarobki lekarza powinny zależeć przede wszystkim od liczby jego pacjentów.,Zdaniem ministerstwa zarobki lekarza powinny zależeć przede wszystkim od liczby jego pacjentów.
17865,Ministerstwo nie planuje całkowitego zniesienia rejonizacji - pacjent wybierałby lekarza tylko w najbliższej lub sąsiednich przychodniach.,Ministerstwo nie planuje całkowitego zniesienia rejonizacji - pacjent wybierał by lekarza tylko w najbliższej lub sąsiednich przychodniach.
17873,"Doświadczenia biurokracji komunistycznej w niewielkim stopniu dadzą się wykorzystać, a i tu legitymizowanie nowego porządku powoduje odżegnywanie się od tych doświadczeń na wszelkie sposoby.","Doświadczenia biurokracji komunistycznej w niewielkim stopniu dadzą się wykorzystać, a i tu legitymizowanie nowego porządku powoduje odżegnywanie się od tych doświadczeń na wszelkie sposoby."
17877,"Pewnego dnia fotograf odkryje prawdę i będzie musiał zdecydować: czy kocha miłą powierzchowność Noelle czy fascynującą osobowość, ale i niezbyt kształtną figurę Abby.","Pewnego dnia fotograf odkryje prawdę i będzie musiał zdecydować: czy kocha miłą powierzchowność Noelle czy fascynującą osobowość, ale i niezbyt kształtną figurę Abby."
17896,Policjanci już od dwóch tygodni szukali fałszywek.,Policjanci już od dwóch tygodni szukali fałszywek.
17900,"W pomroce dziejów giną autochtoni - tajemniczy lud, który stawiał wielkie ołtarze kamienne (Stonehedge).","W pomroce dziejów giną autochtoni - tajemniczy lud, który stawiał wielkie ołtarze kamienne (Stonehedge)."
17902,"Mroczna historia odcisnęła swe piętno na wciąż żywych językach: irlandzkim, szkockim, walijskim, kornwalijskim.","Mroczna historia odcisnęła swe piętno na wciąż żywych językach: irlandzkim, szkockim, walijskim, kornwalijskim."
17906,"Bez człowieczeństwa nie ma bowiem chrześcijaństwa, bez tych dwóch natomiast, razem wziętych, nie ma kapłaństwa"".","Bez człowieczeństwa nie ma bowiem chrześcijaństwa, bez tych dwóch natomiast, razem wziętych, nie ma kapłaństwa""."
17918,"Urządzenie radiometryczne, aby skutecznie kontrolować wszystkie pojazdy przejeżdżające przez granicę, powinno być ustawione przy wjeździe na most (obok nie istniejącego kontenera-posterunku), a nie w terminalu.","Urządzenie radiometryczne, aby skutecznie kontrolować wszystkie pojazdy przejeżdżające przez granicę, powinno być ustawione przy wjeździe na most (obok nie istniejącego kontenera-posterunku), a nie w terminalu."
17920,Telewizja ma o północy pokazywać reportaż z wystawy.,Telewizja ma o północy pokazywać reportaż z wystawy.
17922,"Popsuty, po chwili, w poprzek ekranu przebiega drżący niebieski pasek.","Popsuty, po chwili, w poprzek ekranu przebiega drżący niebieski pasek."
17924,Telewizor stoi na małym stoliczku.,Telewizor stoi na małym stoliczku.
17937,"Wściekłość Holendra spotęgowały rzęsiste gwizdy, którymi żegnali go kibice Realu, gdy opuszczał boisko w 57. min.","Wściekłość Holendra spotęgowały rzęsiste gwizdy, którymi żegnali go kibice Realu, gdy opuszczał boisko w 57. min."
17940,"Analitycy podkreślają, że stosowanie ""kreatywnej księgowości"" to częsta w ostatnim czasie praktyka.","Analitycy podkreślają, że stosowanie ""kreatywnej księgowości"" to częsta w ostatnim czasie praktyka."
17945,"Tylko ambasada amerykańska podała, że rannych zostało troje Amerykanów.","Tylko ambasada amerykańska podała, że rannych zostało troje Amerykanów."
17952,"Po rzucie rożnym obrońcy Vardaru zbyt wolno wychodzili spod swojej bramki, podanie z linii pola karnego dotarło do Kucharskiego, a ten strzelił, stojąc tyłem do bramki.","Po rzucie rożnym obrońcy Vardaru zbyt wolno wychodzili spod swojej bramki, podanie z linii pola karnego dotarło do Kucharskiego, a ten strzelił, stojąc tyłem do bramki."
17953,"O to samo radiowcy oskarżają Witolda Grabosia, byłego członka KRRiTV, obecnie szef URTiP.","O to samo radiowcy oskarżają Witolda Grabosia, byłego członka KRRiTV, obecnie szef URTiP."
17958,Niezadowolenie wyrazili również jej koledzy z SDP.,Niezadowolenie wyrazili również jej koledzy z SDP.
17960,"Wczoraj, po zamknięciu lokali wyborczych, niemieckie media zapowiedziały, że pani minister ustąpi ze stanowiska.","Wczoraj, po zamknięciu lokali wyborczych, niemieckie media zapowiedziały, że pani minister ustąpi ze stanowiska."
17967,Sejm zajmie się poselskim projektem nowelizacji ustawy o Radzie Ministrów na posiedzeniu w tym tygodniu.,Sejm zajmie się poselskim projektem nowelizacji ustawy o Radzie Ministrów na posiedzeniu w tym tygodniu.
17968,"Jego autorzy postulują, aby rząd był zobowiązany przedstawić w ciągu 30 dni swe stanowisko wobec wniosków legislacyjnych NIK.","Jego autorzy postulują, aby rząd był zobowiązany przedstawić w ciągu 30 dni swe stanowisko wobec wniosków legislacyjnych NIK."
17969,W razie uznania potrzeby zmian w prawie Rada Ministrów i jej prezes powinni określić termin podjęcia inicjatywy ustawodawczej lub termin zmiany aktu wykonawczego.,W razie uznania potrzeby zmian w prawie Rada Ministrów i jej prezes powinni określić termin podjęcia inicjatywy ustawodawczej lub termin zmiany aktu wykonawczego.
17972,Wpływowi amerykańscy politycy starają się jednak bagatelizować znaczenie napięć w stosunkach między USA a Niemcami.,Wpływowi amerykańscy politycy starają się jednak bagatelizować znaczenie napięć w stosunkach między USA a Niemcami.
17973,"Premier Leszek Miller i prymas Józef Glemp zgodzili się wczoraj, iż możliwa jest współpraca państwa i Kościoła w sprawie integracji europejskiej, ale każda ze stron zachowa tu suwerenność działania.","Premier Leszek Miller i prymas Józef Glemp zgodzili się wczoraj, iż możliwa jest współpraca państwa i Kościoła w sprawie integracji europejskiej, ale każda ze stron zachowa tu suwerenność działania."
17985,"Z kolei rzecznik komisarza ds. poszerzenia UE Guntera Verheugena oświadczył, iż Komisja Europejska pozostaje ufna, że rozmowy o swobodnym przepływie kapitału da się zakończyć w czwartek.","Z kolei rzecznik komisarza ds. poszerzenia UE Guntera Verheugena oświadczył, iż Komisja Europejska pozostaje ufna, że rozmowy o swobodnym przepływie kapitału da się zakończyć w czwartek."
17986,Największa polska firma ubezpieczeniowa potwierdziła zainteresowanie zakupem.,Największa polska firma ubezpieczeniowa potwierdziła zainteresowanie zakupem.
17992,Według AFP istniejący od 1952 roku festiwal słynie z odkrywania talentów i jest jednym z największych promotorów kina niezależnego.,Według AFP istniejący od 1952 roku festiwal słynie z odkrywania talentów i jest jednym z największych promotorów kina niezależnego.
17999,"W Kopenhadze kampanię prowadzi brytyjska aktorka Vanessa Redgrove, obrończyni praw Czeczenów.","W Kopenhadze kampanię prowadzi brytyjska aktorka Vanessa Redgrove, obrończyni praw Czeczenów."
18001,Wicepremier Grzegorz Kołodko spotkał się z szefem Międzynarodowego Funduszu Walutowego Horstem Koehlerem i Banku Światowego Jimem Wolfensohnem.,Wicepremier Grzegorz Kołodko spotkał się z szefem Międzynarodowego Funduszu Walutowego Horstem Koehlerem i Banku Światowego Jimem Wolfensohnem.
18003,"Sygnały o kupowaniu głosów za alkohol i pieniądze otrzymali także policjanci w kilku miastach Wielkopolski, jednak nie udało się zatrzymać osób, które miałyby uprawiać taki proceder.","Sygnały o kupowaniu głosów za alkohol i pieniądze otrzymali także policjanci w kilku miastach Wielkopolski, jednak nie udało się zatrzymać osób, które miały by uprawiać taki proceder."
18004,"Mieszkańcy stołecznej gminy Targówek donosili na dwa dni przed wyborami, że jedno ze startujących w wyborach ugrupowań o ogólnopolskim zasięgu kupowało głosy przed wyborami, proponując korzyści materialne bezrobotnym oraz osobom spędzającym czas przed sklepem monopolowym.","Mieszkańcy stołecznej gminy Targówek donosili na dwa dni przed wyborami, że jedno ze startujących w wyborach ugrupowań o ogólnopolskim zasięgu kupowało głosy przed wyborami, proponując korzyści materialne bezrobotnym oraz osobom spędzającym czas przed sklepem monopolowym."
18014,"Chłodno odnoszący się do tych propozycji parlamentarzyści Sojuszu zdecydowali wczoraj, że w pierwszym czytaniu zagłosują za kontynuowaniem prac nad przygotowanym dokumentem.","Chłodno odnoszący się do tych propozycji parlamentarzyści Sojuszu zdecydowali wczoraj, że w pierwszym czytaniu zagłosują za kontynuowaniem prac nad przygotowanym dokumentem."
18015,Przeciwko noweli opowie się najprawdopodobniej cała opozycja.,Przeciwko noweli opowie się najprawdopodobniej cała opozycja.
18020,"W końcu marca w Libanie odbyła się tajna narada przywódców ugrupowań terrorystycznych: al-Quaidy, Hamasu i Hezbollahu - podała amerykańska sieć ABC, powołując się na informacje z kół wywiadu.","W końcu marca w Libanie odbyła się tajna narada przywódców ugrupowań terrorystycznych: al-Quaidy, Hamasu i Hezbollahu - podała amerykańska sieć ABC, powołując się na informacje z kół wywiadu."
18022,"Obecnie o tym, czy fundusz emerytalny dobrze inwestuje pieniądze swoich klientów, decyduje tzw. minimalna stopa zwrotu.","Obecnie o tym, czy fundusz emerytalny dobrze inwestuje pieniądze swoich klientów, decyduje tzw. minimalna stopa zwrotu."
18024,"Jak powiedział Reutersowi Jan Monkiewicz taki sposób oceny powoduje, że zanika konkurencja między funduszami.","Jak powiedział Reutersowi Jan Monkiewicz taki sposób oceny powoduje, że zanika konkurencja między funduszami."
18028,Władze Płocka przekazały na jego organizację ok. 80 tys. zł.,Władze Płocka przekazały na jego organizację ok. 80 tys. zł.
18029,Gwiazdą zabawy sylwestrowej w Radomiu ma być zespół IRA.,Gwiazdą zabawy sylwestrowej w Radomiu ma być zespół IRA.
18033,Pracodawca mniej zapłaci za naszą chorobę.,Pracodawca mniej zapłaci za naszą chorobę.
18035,"Dzięki temu pracownicy bardzo szybko ustalili, kto może być odpowiedzialny za zdarzające się coraz częściej w firmie tajemnicze manka.","Dzięki temu pracownicy bardzo szybko ustalili, kto może być odpowiedzialny za zdarzające się coraz częściej w firmie tajemnicze manka."
18036,"27 grudnia o godz. 5.40 kamery zarejestrowały, jak ubrany w uniform ochroniarz rozbija szklaną gablotę i zabiera z niej dwa telefony wartości 600 złotych.","27 grudnia o godz. 5.40 kamery zarejestrowały, jak ubrany w uniform ochroniarz rozbija szklaną gablotę i zabiera z niej dwa telefony wartości 600 złotych."
18040,"Promocja Netii dotyczy także połączeń lokalnych, międzymiastowych oraz międzynarodowych wykonywanych przez system telefonii internetowej (VoIP).","Promocja Netii dotyczy także połączeń lokalnych, międzymiastowych oraz międzynarodowych wykonywanych przez system telefonii internetowej (VoIP)."
18043,"Policja wciąż uważa, że ""Jędrzejowi"" nie udało się opuścić naszego województwa.","Policja wciąż uważa, że ""Jędrzejowi"" nie udało się opuścić naszego województwa."
18045,"Poparcie znacznej części członków Sojuszu, wywodzących się z SdRP, ma jednak wicewojewoda Mirosław Marcisz.","Poparcie znacznej części członków Sojuszu, wywodzących się z SdRP, ma jednak wicewojewoda Mirosław Marcisz."
18046,"Wielu partyjnych kolegów chętnie widziałoby go na stanowisku prezydenta Łodzi, ponieważ Marcisz ma opinię dobrego menadżera.","Wielu partyjnych kolegów chętnie widziało by go na stanowisku prezydenta Łodzi, ponieważ Marcisz ma opinię dobrego menadżera."
18049,"Za najlepszą książkę popularnonaukową o Łodzi jury uznało książkę Krzysztofa Stefańskiego ""Jak zbudowano przemysłową Łódź. Architektura i urbanistyka miasta w latach 1821-1914"".","Za najlepszą książkę popularnonaukową o Łodzi jury uznało książkę Krzysztofa Stefańskiego ""Jak zbudowano przemysłową Łódź. Architektura i urbanistyka miasta w latach 1821-1914""."
18050,"Uczniowie XII LO wygrali wojewódzki etap konkursu ""Euroszkoła w Internecie"", który organizuje Kancelaria Prezydenta Rzeczpospolitej.","Uczniowie XII LO wygrali wojewódzki etap konkursu ""Euroszkoła w Internecie"", który organizuje Kancelaria Prezydenta Rzeczpospolitej."
18052,"Uczniowie ""dwunastki"" tym samym zakwalifikowali się do finału, który odbędzie się w czerwcu w Warszawie.","Uczniowie ""dwunastki"" tym samym zakwalifikowali się do finału, który odbędzie się w czerwcu w Warszawie."
18055,"Straż miejska rozważa, czy wystąpić do Wydziału Dróg UMŁ o likwidację tamtejszego postoju taksówek.","Straż miejska rozważa, czy wystąpić do Wydziału Dróg UMŁ o likwidację tamtejszego postoju taksówek."
18061,"Sąd zdecydował też, że proces będzie się toczył od początku, bo od poprzedniej rozprawy minęło wiele czasu.","Sąd zdecydował też, że proces będzie się toczył od początku, bo od poprzedniej rozprawy minęło wiele czasu."
18064,"W bagażach uczniów renomowanego XXVI Liceum Ogólnokształcącego z Łodzi, którzy jechali na wycieczkę do Trójmiasta, policja znalazła w środę narkotyki i 14 litrów alkoholu.","W bagażach uczniów renomowanego XXVI Liceum Ogólnokształcącego z Łodzi, którzy jechali na wycieczkę do Trójmiasta, policja znalazła w środę narkotyki i 14 litrów alkoholu."
18066,W święto Bożego Ciała w Łowiczu odbyła się tradycyjna procesja eucharystyczna.,W święto Bożego Ciała w Łowiczu odbyła się tradycyjna procesja eucharystyczna.
18072,"Prokuratorzy podejrzewają Jamrożego, że akceptował zakupy spółki-córki PZU SA PZU Development, która kupowała - po sztucznie zawyżonych cenach - grunty w różnych regionach kraju.","Prokuratorzy podejrzewają Jamrożego, że akceptował zakupy spółki-córki PZU SA PZU Development, która kupowała - po sztucznie zawyżonych cenach - grunty w różnych regionach kraju."
18075,"Przedstawiciele administracji prezydenta Busha twierdzą, że mają dowody posiadania przez Saddama Husajna broni masowego rażenia.","Przedstawiciele administracji prezydenta Busha twierdzą, że mają dowody posiadania przez Saddama Husajna broni masowego rażenia."
18078,"Według agencji DPA, finał konkursu obejrzały 2 mld ludzi, lecz nie pokazywała go żadna z brytyjskich stacji telewizyjnych.","Według agencji DPA, finał konkursu obejrzały 2 mld ludzi, lecz nie pokazywała go żadna z brytyjskich stacji telewizyjnych."
18080,"Policjanci z pobliskiego komisariatu przyznają, że docierają do nich sygnały o rozbojach.","Policjanci z pobliskiego komisariatu przyznają, że docierają do nich sygnały o rozbojach."
18092,W czwartek filipińscy żołnierze znaleźli ciało amerykańskiego turysty zabitego w zasadzce na zboczu wulkanu Pinatubo na północy kraju.,W czwartek filipińscy żołnierze znaleźli ciało amerykańskiego turysty zabitego w zasadzce na zboczu wulkanu Pinatubo na północy kraju.
18095,W Nowym Tomyślu wiatr zerwał dach urzędu skarbowego i pasażu handlowego.,W Nowym Tomyślu wiatr zerwał dach urzędu skarbowego i pasażu handlowego.
18101,Wobec krwawych zamieszek w Kadunie grożących w każdej chwili rozprzestrzenieniem się do innych miast kraju organizatorzy konkursu postanowili przenieść go do Londynu.,Wobec krwawych zamieszek w Kadunie grożących w każdej chwili rozprzestrzenieniem się do innych miast kraju organizatorzy konkursu postanowili przenieść go do Londynu.
18102,W Nigerii przeciwko paradzie roznegliżowanych piękności protestowali muzułmańscy radykałowie.,W Nigerii przeciwko paradzie roznegliżowanych piękności protestowali muzułmańscy radykałowie.
18103,W Londynie również zaciekle występowały przeciwko nim europejskie feministki.,W Londynie również zaciekle występowały przeciwko nim europejskie feministki.
18108,W prasie włoskiej pojawiły się niedawno pogłoski o czekającej go operacji wszczepienia protezy stawu kolanowego.,W prasie włoskiej pojawiły się niedawno pogłoski o czekającej go operacji wszczepienia protezy stawu kolanowego.
18118,Sejm debatował wczoraj nad abolicją podatkową i deklaracjami majątkowymi.,Sejm debatował wczoraj nad abolicją podatkową i deklaracjami majątkowymi.
18119,"Rząd twardo obstaje przy pomyśle, żeby osoby korzystające z abolicji płaciły fiskusowi 7,5 proc. ujawnionych dochodów.","Rząd twardo obstaje przy pomyśle, żeby osoby korzystające z abolicji płaciły fiskusowi 7,5 proc. ujawnionych dochodów."
18120,Ale w koalicji rośnie grupa zwolenników podniesienia stawki do 12 bądź 15 proc.,Ale w koalicji rośnie grupa zwolenników podniesienia stawki do 12 bądź 15 proc.
18129,Niewytłumaczalna zbrodnia wstrząsnęła Polską.,Niewytłumaczalna zbrodnia wstrząsnęła Polską.
18132,Na leśnej drodze zaatakował ją rowerzysta.,Na leśnej drodze zaatakował ją rowerzysta.
18137,Sejm ma głosować także nad projektem uchwały w sprawie sprzedaży zakładu energetycznego STOEN.,Sejm ma głosować także nad projektem uchwały w sprawie sprzedaży zakładu energetycznego STOEN.
18141,Monument ten stanął w Kielcach 11 listopada 1928 roku.,Monument ten stanął w Kielcach 11 listopada 1928 roku.
18149,Rafineria Gdańska SA podniosła od dziś hurtowe ceny benzyny o 60 zł na tonie i oleju napędowego o 100 zł na tonie.,Rafineria Gdańska SA podniosła od dziś hurtowe ceny benzyny o 60 zł na tonie i oleju napędowego o 100 zł na tonie.
18154,"Policja podała, że Niemcy znajdowali się poza wytyczonymi szlakami zjazdowymi.","Policja podała, że Niemcy znajdowali się poza wytyczonymi szlakami zjazdowymi."
18160,"Od stycznia przejmie ją dziecko z Czech, a za rok z Niemiec.","Od stycznia przejmie ją dziecko z Czech, a za rok z Niemiec."
18161,"Parlamentarzyści liczą sobie od 12 do 15 lat, pochodzą z czeskiego Hradka, niemieckiego Zittau oraz Bogatyni, Porajowa i Sieniawki.","Parlamentarzyści liczą sobie od 12 do 15 lat, pochodzą z czeskiego Hradka, niemieckiego Zittau oraz Bogatyni, Porajowa i Sieniawki."
18166,"Ludzie uważają, że do kłopotów z uzyskaniem zgody przyczynili się inwestorzy starający się o pozwolenie na budowę małego osiedla na działce sąsiadującej z ogródkami mieszkańców.","Ludzie uważają, że do kłopotów z uzyskaniem zgody przyczynili się inwestorzy starający się o pozwolenie na budowę małego osiedla na działce sąsiadującej z ogródkami mieszkańców."
18174,"Badania alkomatem wykazały, że miał ponad dwa promile alkoholu w wydychanym powietrzu.","Badania alkomatem wykazały, że miał ponad dwa promile alkoholu w wydychanym powietrzu."
18175,Niezwykle interesująca okazała się wizyta policjantów w mieszkaniach zatrzymanych.,Niezwykle interesująca okazała się wizyta policjantów w mieszkaniach zatrzymanych.
18182,Strażacy uwijali się jak w ukropie.,Strażacy uwijali się jak w ukropie.
18184,"Niestety, lekarz po przybyciu na miejsce orzekł, że ten już nie żyje.","Niestety, lekarz po przybyciu na miejsce orzekł, że ten już nie żyje."
18188,Były drugi trener lubelskich szczypiornistek nie zdołał poprowadzić jeleniogórzanek do sukcesu.,Były drugi trener lubelskich szczypiornistek nie zdołał poprowadzić jeleniogórzanek do sukcesu.
18190,"Zdaniem władz, ekstremiści albańscy z regionu objętego konfliktem mają powiązania z separatystami z Doliny Preszeva w południowej Serbii, gdzie dochodziło ostatnio do starć z siłami rządowymi Jugosławii, oraz otrzymują wsparcie od kosowskich Albańczyków.","Zdaniem władz, ekstremiści albańscy z regionu objętego konfliktem mają powiązania z separatystami z Doliny Preszeva w południowej Serbii, gdzie dochodziło ostatnio do starć z siłami rządowymi Jugosławii, oraz otrzymują wsparcie od kosowskich Albańczyków."
18191,"Wczoraj Rada Europy przestrzegła, że ostatnie napięcia w Macedonii rodzą niebezpieczeństwo wybuchu nowej wojny na Bałkanach.","Wczoraj Rada Europy przestrzegła, że ostatnie napięcia w Macedonii rodzą niebezpieczeństwo wybuchu nowej wojny na Bałkanach."
18192,"Około 50 osób przesłuchała do wczorajszego popołudnia policja w związku z sobotnim napadem na warszawską filię Kredyt Banku, w którym zastrzelono cztery osoby.","Około 50 osób przesłuchała do wczorajszego popołudnia policja w związku z sobotnim napadem na warszawską filię Kredyt Banku, w którym zastrzelono cztery osoby."
18193,Policja udziela niewiele informacji zasłaniając się dobrem śledztwa.,Policja udziela niewiele informacji zasłaniając się dobrem śledztwa.
18194,"Telewizyjna ""Panorama"" podała wczoraj, że zatrzymano 6 osób.","Telewizyjna ""Panorama"" podała wczoraj, że zatrzymano 6 osób."
18196,"Sąd Lustracyjny oczyścił wczoraj posła SLD, byłego ministra sprawiedliwości Jerzego Jaskiernię z zarzutu ""kłamstwa lustracyjnego"".","Sąd Lustracyjny oczyścił wczoraj posła SLD, byłego ministra sprawiedliwości Jerzego Jaskiernię z zarzutu ""kłamstwa lustracyjnego""."
18199,Zastępca Rzecznika Interesu Publicznego Krzysztof Kauba wniesie apelację.,Zastępca Rzecznika Interesu Publicznego Krzysztof Kauba wniesie apelację.
18200,"Od dwóch lat w tym miejscu niszczeje budynek byłego sklepu ""Zosia"", należącego kiedyś do WSS Społem Praga Południe.","Od dwóch lat w tym miejscu niszczeje budynek byłego sklepu ""Zosia"", należącego kiedyś do WSS Społem Praga Południe."
18201,"Za wieczyste użytkowanie działki deweloper zapłaci miastu w sumie 1,6 miliona zł.","Za wieczyste użytkowanie działki deweloper zapłaci miastu w sumie 1,6 miliona zł."
18207,"Niemiecki parlament musi stwierdzić w tym celu ""wystarczające"" bezpieczeństwo prawne dla niemieckich firm w USA.","Niemiecki parlament musi stwierdzić w tym celu ""wystarczające"" bezpieczeństwo prawne dla niemieckich firm w USA."
18212,"Japońskie Ministerstwo Zdrowia zbadało znajdujące się na rynku trzy typy chińskich ""ziołowych"" pigułek odchudzających.","Japońskie Ministerstwo Zdrowia zbadało znajdujące się na rynku trzy typy chińskich ""ziołowych"" pigułek odchudzających."
18215,"Policja uważa, że w centrach handlowych często źle umieszczane są kamery, a uzyskany z nich obraz nie stanowi żadnej wartości dowodowej.","Policja uważa, że w centrach handlowych często źle umieszczane są kamery, a uzyskany z nich obraz nie stanowi żadnej wartości dowodowej."
18216,"Funkcjonariusze dodają również, że bardzo rzadko zdarza się, aby system monitoringu chronił nie tylko sklepowy towar, ale także klientów.","Funkcjonariusze dodają również, że bardzo rzadko zdarza się, aby system monitoringu chronił nie tylko sklepowy towar, ale także klientów."
18219,Prokuratura Apelacyjna współpracuje w tej sprawie z oddziałami CBŚ we wspomnianych miastach i Urzędami Kontroli Skarbowej.,Prokuratura Apelacyjna współpracuje w tej sprawie z oddziałami CBŚ we wspomnianych miastach i Urzędami Kontroli Skarbowej.
18224,Mężczyzna dotykał ciała dziewczynki w miejscach intymnych.,Mężczyzna dotykał ciała dziewczynki w miejscach intymnych.
18226,"Msza kanonizacyjna odbyła się w bazylice Matki Bożej z Guadelupe, wzniesionej przy placu Zocalo, jednym z największych na świecie.","Msza kanonizacyjna odbyła się w bazylice Matki Bożej z Guadelupe, wzniesionej przy placu Zocalo, jednym z największych na świecie."
18229,"Według CNN, policja przychyla się do wersji ładunku wybuchowego pozostawionego w ręcznej torbie w bufecie, gdzie było tłoczno.","Według CNN, policja przychyla się do wersji ładunku wybuchowego pozostawionego w ręcznej torbie w bufecie, gdzie było tłoczno."
18230,"Politycy opozycji poinformowali również, że zamierzają złożyć do Trybunału Konstytucyjnego wniosek w sprawie niekonstytucyjności ustawy o ABW i AW.","Politycy opozycji poinformowali również, że zamierzają złożyć do Trybunału Konstytucyjnego wniosek w sprawie niekonstytucyjności ustawy o ABW i AW."
18232,Prawem opozycji nazwał szef Agencji Bezpieczeństwa Wewnętrznego Andrzej Barcikowski zapowiedź ewentualnego wniosku o odwołanie go z pełnionej funkcji.,Prawem opozycji nazwał szef Agencji Bezpieczeństwa Wewnętrznego Andrzej Barcikowski zapowiedź ewentualnego wniosku o odwołanie go z pełnionej funkcji.
18238,"W wyniku zauważonych nieprawidłowości - zużyte bieżniki, wyciek oleju - funkcjonariusze zatrzymali dowód rejestracyjny pojazdu i skierowali go do stacji diagnostycznej z poleceniem usunięcia usterek.","W wyniku zauważonych nieprawidłowości - zużyte bieżniki, wyciek oleju - funkcjonariusze zatrzymali dowód rejestracyjny pojazdu i skierowali go do stacji diagnostycznej z poleceniem usunięcia usterek."
18241,Dziewczyna zwabiła Rafała R. do lasu pod Karpiówką.,Dziewczyna zwabiła Rafała R. do lasu pod Karpiówką.
18242,Mężczyzna przyjechał tam razem z nią samochodem.,Mężczyzna przyjechał tam razem z nią samochodem.
18246,"Zapowiadany na wczoraj przez Związek Zawodowy Rolników ""Ojczyzna"" strajk okupacyjny w Lubelskich Zakładach Tytoniowych nie doszedł do skutku.","Zapowiadany na wczoraj przez Związek Zawodowy Rolników ""Ojczyzna"" strajk okupacyjny w Lubelskich Zakładach Tytoniowych nie doszedł do skutku."
18247,"""Ojczyzna"" domaga się od rządu wstrzymania prywatyzacji zakładu, zbadania wiarygodności inwestora oraz rozpoczęcia rozmów przez ministra skarbu państwa z rolnikami i związkiem ""Ojczyzna"" na temat prywatyzacji i pakietu plantatorskiego.","""Ojczyzna"" domaga się od rządu wstrzymania prywatyzacji zakładu, zbadania wiarygodności inwestora oraz rozpoczęcia rozmów przez ministra skarbu państwa z rolnikami i związkiem ""Ojczyzna"" na temat prywatyzacji i pakietu plantatorskiego."
18248,"Za uchwaleniem ustawy było 416 posłów, żaden poseł nie był przeciwny i żaden nie wstrzymał się od głosu.","Za uchwaleniem ustawy było 416 posłów, żaden poseł nie był przeciwny i żaden nie wstrzymał się od głosu."
18250,Agencja nie ma jednak własnych magazynów i ponosi koszty związane z przechowywaniem zapasów.,Agencja nie ma jednak własnych magazynów i ponosi koszty związane z przechowywaniem zapasów.
18251,Święto orkiestr dętych organizuje się tam tradycyjnie co roku.,Święto orkiestr dętych organizuje się tam tradycyjnie co roku.
