correct,incorrect
Administracja Lecha Wałęsy nie przewidziała w nim puli na nagradzanie wyróżniających się młodych Polaków.,Administracja Lecha Wałęsy nie przewidział w nim puli na nagradzanie wyróżniających się młodych Polaków.
"Unia dostała siedem resortów, w tym - co najbardziej zbulwersowało posłów AWS - Ministerstwo Sprawiedliwości.","Unia dostał siedem resortów, w tym - co najbardziej zbulwersowało posłów AWS - Ministerstwo Sprawiedliwości."
"Czy Unia postawiła warunek: wasz marszałek, nasz minister sprawiedliwości?","Czy Unia postawił warunek: wasz marszałek, nasz minister sprawiedliwości?"
Jego pracownica skinęła głową.,Jego pracownica skinął głową.
Zaczęła wykradać.,Zaczął wykradać.
- Najbardziej prawdopodobną przyczyną pożaru we wrocławskim Teatrze Polskim jest podpalenie - powiedziała nam wczoraj prowadząca śledztwo Lidia Opacka z Prokuratury Wojewódzkiej we Wrocławiu.,- Najbardziej prawdopodobną przyczyną pożaru we wrocławskim Teatrze Polskim jest podpalenie - powiedział nam wczoraj prowadząca śledztwo Lidia Opacka z Prokuratury Wojewódzkiej we Wrocławiu.
- Ale nie można tak twierdzić na pewno - zastrzegła.,- Ale nie można tak twierdzić na pewno - zastrzegł.
"Takie plany zdobywania trzech największych miast wschodniej Czeczenii: Gudermes, Argun i Szali istnieją - poinformowała wczoraj agencja Interfax.","Takie plany zdobywania trzech największych miast wschodniej Czeczenii: Gudermes, Argun i Szali istnieją - poinformował wczoraj agencja Interfax."
"Gdyby SLD namówił Unię Wolności, koalicja SLD-UW-PSL (nazywana ""konstytucyjną"" ) zebrałaby 251 mandatów.","Gdyby SLD namówił Unię Wolności, koalicja SLD-UW-PSL (nazywana ""konstytucyjną"" ) zebrał by 251 mandatów."
"Polska Ludowa postawiła sobie za cel, aby w każdej chłopskiej chacie zapalała się żarówka"" .","Polska Ludowa postawił sobie za cel, aby w każdej chłopskiej chacie zapalała się żarówka"" ."
"W lipcu policja odkryła w jednym z gliwickich mieszkań magazyn fałszywych banknotów o nominałach 100, 50 i 20 dolarów.","W lipcu policja odkrył w jednym z gliwickich mieszkań magazyn fałszywych banknotów o nominałach 100, 50 i 20 dolarów."
"Gdy wychodzili z restauracji, podeszła do nich rosyjska przewodniczka wycieczki.","Gdy wychodzili z restauracji, podszedł do nich rosyjska przewodniczka wycieczki."
- Nie wolno wychodzić - powiedziała.,- Nie wolno wychodzić - powiedział.
"Brigitte Bardot zaczęła bronić zwierząt histerycznie, szlachetne intencje popsuły się i pogniły jak robaczywe jabłka.","Brigitte Bardot zaczął bronić zwierząt histerycznie, szlachetne intencje popsuły się i pogniły jak robaczywe jabłka."
Gwiazda przemieniła się w inkwizytora.,Gwiazda przemienił się w inkwizytora.
- Około 6 tys. zł - policzyła sprzedawczyni.,- Około 6 tys. zł - policzył sprzedawczyni.
"Gdybym nie miała córki i wnuków, to bym sobie pozwoliła zwariować.","Gdyby m nie miała córki i wnuków, to by m sobie pozwolił zwariować."
"Pani Czapkowa zaścieliła stół świeżą ceratą, podała kotlety z dzika, a po obiedzie odbyło się sympozjum.","Pani Czapkowa zaścielił stół świeżą ceratą, podała kotlety z dzika, a po obiedzie odbyło się sympozjum."
"Jego rada wojenna ostrzegła Moskwę, że wszystkie samoloty przelatujące nad Czeczenią będą przechwytywane przez czeczeńskie lotnictwo.","Jego rada wojenna ostrzegł Moskwę, że wszystkie samoloty przelatujące nad Czeczenią będą przechwytywane przez czeczeńskie lotnictwo."
"Zaimponowała mi też wersja sosu pomidorowego all'amatricane - na bekonie, podanego z bucatini, czyli długim, cienkim makaronem rurkowym.","Zaimponował mi też wersja sosu pomidorowego all'amatricane - na bekonie, podanego z bucatini, czyli długim, cienkim makaronem rurkowym."
"Polska ambasada w Pradze przysłała wiadomość, że projekt czeskiego budżetu '97 przewiduje zwiększenie wydatków mieszkaniowych o 42 proc.","Polska ambasada w Pradze przysłał wiadomość, że projekt czeskiego budżetu '97 przewiduje zwiększenie wydatków mieszkaniowych o 42 proc."
"Poprzednia uchwała wygasła w 2006 roku, a nowa powiększy strefę w której ulgi mają obowiązywać, ze ścisłego centrum do obszaru pokrywającego się ze strefą płatnego parkowania.","Poprzednia uchwała wygasł w 2006 roku, a nowa powiększy strefę w której ulgi mają obowiązywać, ze ścisłego centrum do obszaru pokrywającego się ze strefą płatnego parkowania."
"Jako trzecia weszła do półfinału Nidzica Cudzynowice, po zwycięstwie nad Grellandem Paśmiechy 4:2 (Piotr Klimczyk 2, Paweł Kwiecień, Marcin Nowicki - Dariusz Cieśla, Gabriel Garbarz).","Jako trzecia wszedł do półfinału Nidzica Cudzynowice, po zwycięstwie nad Grellandem Paśmiechy 4:2 (Piotr Klimczyk 2, Paweł Kwiecień, Marcin Nowicki - Dariusz Cieśla, Gabriel Garbarz)."
"W sobotę zakończyła się ""złota seria"" Wisły.","W sobotę zakończył się ""złota seria"" Wisły."
"Tylko najmłodszej dziewczynce, Oliwce, nie spodobała się bluza, jaką dostała.","Tylko najmłodszej dziewczynce, Oliwce, nie spodobał się bluza, jaką dostała."
"Doba wystarczyła policjantom, aby ustalić i zatrzymać sprawcę piątkowego napadu na Urząd Pocztowy w Jarosławiu.","Doba wystarczył policjantom, aby ustalić i zatrzymać sprawcę piątkowego napadu na Urząd Pocztowy w Jarosławiu."
"Druga część obchodów święta wojska polskiego okazała się prawdziwym rajem dla mężczyzn, małych i dużych!","Druga część obchodów święta wojska polskiego okazał się prawdziwym rajem dla mężczyzn, małych i dużych!"
"W ubiegłe lato, ta sama firma, która źle ułożyła bruk za pierwszym razem, przełożyła granitową kostkę, ""mieszając"" ją z betonowymi płytkami.","W ubiegłe lato, ta sama firma, która źle ułożyła bruk za pierwszym razem, przełożył granitową kostkę, ""mieszając"" ją z betonowymi płytkami."
"Nowa nawierzchnia pojawiła się nie tylko wokół fontanny, ale również w parkowych alejkach.","Nowa nawierzchnia pojawił się nie tylko wokół fontanny, ale również w parkowych alejkach."
"Naczepa pękła w połowie, ale ładunek nie wysypał się na zewnątrz.","Naczepa pękł w połowie, ale ładunek nie wysypał się na zewnątrz."
"Na własne oczy przekonałam się, że zdarzają się kolejki do Izby Wytrzeźwień.","Na własne oczy przekonał m się, że zdarzają się kolejki do Izby Wytrzeźwień."
"Dowiedziałam się też, że psy strażników są bardzo groźne - siniak na ręce, od uderzenia kagańcem, utrzyma się pewnie jeszcze kilka dni.","Dowiedział m się też, że psy strażników są bardzo groźne - siniak na ręce, od uderzenia kagańcem, utrzyma się pewnie jeszcze kilka dni."
Policja pomocy jednak odmówiła: - To nie jest nasza sprawa.,Policja pomocy jednak odmówił: - To nie jest nasza sprawa.
"Budowa nowego domu pomocy ruszyła w 2001 roku, lecz niedługo potem - głównie ze względu na brak pieniędzy - prace zostały przerwane.","Budowa nowego domu pomocy ruszył w 2001 roku, lecz niedługo potem - głównie ze względu na brak pieniędzy - prace zostały przerwane."
W Europie Toyota po raz pierwszy pokazała ten samochód w ubiegłym roku podczas salonu motoryzacyjnego w Bolonii.,W Europie Toyota po raz pierwszy pokazał ten samochód w ubiegłym roku podczas salonu motoryzacyjnego w Bolonii.
- Apteka zachowała się niedobrze.,- Apteka zachował się niedobrze.
"Sześć zarzutów o charakterze korupcyjnym postawiła wrocławska prokuratura zatrzymanemu we wtorek rano, byłemu II-ligowemu sędziemu piłkarskiemu Januszowi O. z Radomia.","Sześć zarzutów o charakterze korupcyjnym postawił wrocławska prokuratura zatrzymanemu we wtorek rano, byłemu II-ligowemu sędziemu piłkarskiemu Januszowi O. z Radomia."
Zwyciężyła Monika Lasek z Małogoszcza.,Zwyciężył Monika Lasek z Małogoszcza.
"Myślę, że uczniowie byli zadowoleni, najbardziej bowiem bali się rozprawki - poinformowała po zakończonym egzaminie wicedyrektor szkoły Marzena Guldzińska.","Myślę, że uczniowie byli zadowoleni, najbardziej bowiem bali się rozprawki - poinformował po zakończonym egzaminie wicedyrektor szkoły Marzena Guldzińska."
Polonia w ostatnim swoim występie mocno rozczarowała.,Polonia w ostatnim swoim występie mocno rozczarował.
"W pierwszej rundzie Pucharu Polski w środę przegrała z trzecioligową Stalą w Sanoku 0:2, wyraźnie ustępując zespołowi z Podkarpacia.","W pierwszej rundzie Pucharu Polski w środę przegrał z trzecioligową Stalą w Sanoku 0:2, wyraźnie ustępując zespołowi z Podkarpacia."
Podczas ostatnich wyborów wygrała tutaj socjaldemokracja.,Podczas ostatnich wyborów wygrał tutaj socjaldemokracja.
"W ciągu kilku dni na terminalu powstała kolejka około stu tirów, których kierowcy nie posiadali zezwolenia na przejazd albo mieli zezwolenia sfałszowane.","W ciągu kilku dni na terminalu powstał kolejka około stu tirów, których kierowcy nie posiadali zezwolenia na przejazd albo mieli zezwolenia sfałszowane."
A jednak i dla Mister O'Gorcka zaświtała w końcu nadzieja na poprawę.,A jednak i dla Mister O'Gorcka zaświtał w końcu nadzieja na poprawę.
Błyskawiczna wędrówka w górę Okocimia-2 wzbudziła podejrzenia Zarządu Giełdy.,Błyskawiczna wędrówka w górę Okocimia-2 wzbudził podejrzenia Zarządu Giełdy.
W tych miastach znaczne wpływy zdobyła sobie wiara protestancka.,W tych miastach znaczne wpływy zdobył sobie wiara protestancka.
"""Gazeta"" dotarła do oryginalnego tekstu wystąpienia rosyjskiego generała.","""Gazeta"" dotarł do oryginalnego tekstu wystąpienia rosyjskiego generała."
"Pocięła atlas na kawałki, skleiła trasę Amelii i powiesiła w swoim pokoju.","Pociął atlas na kawałki, skleiła trasę Amelii i powiesiła w swoim pokoju."
"Jej córka skwitowała to krótko: - Myślałam, że mama zwariowała.","Jej córka skwitował to krótko: - Myślała m , że mama zwariowała."
"A jak weszła, to przeczytała, że piętnastowieczny Nawój miał dwóch synów: Jakuba i Jana.","A jak weszła, to przeczytał, że piętnastowieczny Nawój miał dwóch synów: Jakuba i Jana."
"Niestety (lub na szczęście) skotofobina, a wraz z nią cała teoria chemicznej natury engramu, okazała się niewypałem, gdyż wyników Ungara nie udało się potwierdzić.","Niestety (lub na szczęście) skotofobina, a wraz z nią cała teoria chemicznej natury engramu, okazał się niewypałem, gdyż wyników Ungara nie udało się potwierdzić."
"Pani Rędzińska zacytowała wypowiedź prokuratora wojewódzkiego w Słupsku, w którego ocenie policjanci nie dopełnili obowiązków służbowych, bo nie pozostali na miejscu.","Pani Rędzińska zacytował wypowiedź prokuratora wojewódzkiego w Słupsku, w którego ocenie policjanci nie dopełnili obowiązków służbowych, bo nie pozostali na miejscu."
Samotnie mieszkająca 83-letnia kobieta oddała napastnikom biżuterię oraz 500 dolarów amerykańskich i 1000 szwedzkich koron.,Samotnie mieszkająca 83-letnia kobieta oddał napastnikom biżuterię oraz 500 dolarów amerykańskich i 1000 szwedzkich koron.
"Od Sęków trąba przeszła do Chylińskich, którzy ledwie co skończyli obiad (kapuśniak i schabowy).","Od Sęków trąba przeszedł do Chylińskich, którzy ledwie co skończyli obiad (kapuśniak i schabowy)."
"Chylińska zdążyła tylko krzyknąć rozpaczliwie: ""Ludzie, koniec świata!"".","Chylińska zdążył tylko krzyknąć rozpaczliwie: ""Ludzie, koniec świata!""."
Ostatecznie komisja postanowiła zająć się problemem pomocy społecznej na najbliższym posiedzeniu - 13 czerwca.,Ostatecznie komisja postanowił zająć się problemem pomocy społecznej na najbliższym posiedzeniu - 13 czerwca.
"Dopiero kiedy wymknęło się jednej, że ""trzeba było oczyścić cały ten gnój"", druga ją zmitygowała, ale zaraz dodała: - Wie pan, powiem całkiem szczerze.","Dopiero kiedy wymknęło się jednej, że ""trzeba było oczyścić cały ten gnój"", druga ją zmitygował, ale zaraz dodała: - Wie pan, powiem całkiem szczerze."
Ja jednak wysiadłam z samolotu.,Ja jednak wysiadł m z samolotu.
"Bo w końcu i tak już dostatecznie dużo narobiłam sobie wrogów przez swoją porywczość, zawsze mówię to, co myślę, i mam niewyparzony język.","Bo w końcu i tak już dostatecznie dużo narobił m sobie wrogów przez swoją porywczość, zawsze mówię to, co myślę, i mam niewyparzony język."
"Sprawa trafiła do sądu, a olsztyńska Socjaldemokracja ją przegrała.","Sprawa trafił do sądu, a olsztyńska Socjaldemokracja ją przegrała."
Partia przegrała wielką kampanię antykościelną.,Partia przegrał wielką kampanię antykościelną.
Nasza owocowa potęga w dużym stopniu okazała się kolosem na glinianych nogach.,Nasza owocowa potęga w dużym stopniu okazał się kolosem na glinianych nogach.
"Według zgodnej opinii obserwatorów potwierdziła się po raz kolejny reguła, zgodnie z którą reprezentacja Niemiec to drużyna turniejowa, grająca z meczu na mecz lepiej.","Według zgodnej opinii obserwatorów potwierdził się po raz kolejny reguła, zgodnie z którą reprezentacja Niemiec to drużyna turniejowa, grająca z meczu na mecz lepiej."
"Komisja stwierdziła, że UOP działał zgodnie z prawem, co zresztą potwierdził sam prok. Gorzkiewicz.","Komisja stwierdził, że UOP działał zgodnie z prawem, co zresztą potwierdził sam prok. Gorzkiewicz."
"Jedna osoba zginęła, trzy zostały ranne.","Jedna osoba zginął, trzy zostały ranne."
Zanim z gór ruszyły zwały ziemi wiejskie zagrody zalała wezbrana rzeka Łososina Dolna.,Zanim z gór ruszyły zwały ziemi wiejskie zagrody zalał wezbrana rzeka Łososina Dolna.
"Za swe niepodważalne sukcesy: 3-procentowe bezrobocie czy 8,5-procentową inflację czeska prawica zapłaciła utratą części głosów.","Za swe niepodważalne sukcesy: 3-procentowe bezrobocie czy 8,5-procentową inflację czeska prawica zapłacił utratą części głosów."
Prężna niegdyś organizacja skurczyła się w pokoikach staromiejskiej willi pod numerem 635 78 40.,Prężna niegdyś organizacja skurczył się w pokoikach staromiejskiej willi pod numerem 635 78 40.
VF Polska zaczęła działalność w Polsce w październiku 1992 r.,VF Polska zaczął działalność w Polsce w październiku 1992 r.
"Bójka, jaka tam się rozpętała, spowodowała przyjazd policji i zamknięcie dyskoteki dwie godziny przed czasem.","Bójka, jaka tam się rozpętała, spowodował przyjazd policji i zamknięcie dyskoteki dwie godziny przed czasem."
Podczas wczorajszej próby generalnej ceremonii wręczania nagród Wisława Szymborska zachowała najwięcej zimnej krwi spośród wszystkich tegorocznych laureatów Nobla.,Podczas wczorajszej próby generalnej ceremonii wręczania nagród Wisława Szymborska zachował najwięcej zimnej krwi spośród wszystkich tegorocznych laureatów Nobla.
"W ten sposób koperta z pieniędzmi od czytelników ""Gazety Warmii i Mazur"" trafiła do Adama i Marii.","W ten sposób koperta z pieniędzmi od czytelników ""Gazety Warmii i Mazur"" trafił do Adama i Marii."
I chwała Bogu! - dodała matka.,I chwała Bogu! - dodał matka.
Przy pomocy inwestora firma uniezależniła się od dostawców drutu.,Przy pomocy inwestora firma uniezależnił się od dostawców drutu.
Około 1000 butelek podrabianego Johnnie Walkera zarekwirowała we wtorek policja w Poznaniu.,Około 1000 butelek podrabianego Johnnie Walkera zarekwirował we wtorek policja w Poznaniu.
"Mroczna historia odcisnęła swe piętno na wciąż żywych językach: irlandzkim, szkockim, walijskim, kornwalijskim.","Mroczna historia odcisnął swe piętno na wciąż żywych językach: irlandzkim, szkockim, walijskim, kornwalijskim."
Mary Robinson zdobyła w tym okresie uznanie jako wybitny znawca problemów harmonizowania prawa irlandzkiego i europejskiego.,Mary Robinson zdobył w tym okresie uznanie jako wybitny znawca problemów harmonizowania prawa irlandzkiego i europejskiego.
Na Monciaku - sopockim deptaku - przed wejściem na molo pojawiła się groźna konkurencja dla festiwalu.,Na Monciaku - sopockim deptaku - przed wejściem na molo pojawił się groźna konkurencja dla festiwalu.
Poważniejszej bójce zapobiegła interwencja kolegów z zespołu.,Poważniejszej bójce zapobiegł interwencja kolegów z zespołu.
"Tylko ambasada amerykańska podała, że rannych zostało troje Amerykanów.","Tylko ambasada amerykańska podał, że rannych zostało troje Amerykanów."
"Policja w Nepalu zatrzymała wczoraj 36-letniego Polaka, który na pokładzie samolotu lecącego do Tajlandii próbował przemycić 10 kilogramów haszyszu.","Policja w Nepalu zatrzymał wczoraj 36-letniego Polaka, który na pokładzie samolotu lecącego do Tajlandii próbował przemycić 10 kilogramów haszyszu."
Największa polska firma ubezpieczeniowa potwierdziła zainteresowanie zakupem.,Największa polska firma ubezpieczeniowa potwierdził zainteresowanie zakupem.
"Drugą nagrodę imienną dwudniówki - Jaguara - wygrała Freedom pod Kozłowskim, która po walce zwyciężyła niosącą o 5 kg więcej Nidelvę.","Drugą nagrodę imienną dwudniówki - Jaguara - wygrał Freedom pod Kozłowskim, która po walce zwyciężyła niosącą o 5 kg więcej Nidelvę."
"W końcu marca w Libanie odbyła się tajna narada przywódców ugrupowań terrorystycznych: al-Quaidy, Hamasu i Hezbollahu - podała amerykańska sieć ABC, powołując się na informacje z kół wywiadu.","W końcu marca w Libanie odbyła się tajna narada przywódców ugrupowań terrorystycznych: al-Quaidy, Hamasu i Hezbollahu - podał amerykańska sieć ABC, powołując się na informacje z kół wywiadu."
"W bagażach uczniów renomowanego XXVI Liceum Ogólnokształcącego z Łodzi, którzy jechali na wycieczkę do Trójmiasta, policja znalazła w środę narkotyki i 14 litrów alkoholu.","W bagażach uczniów renomowanego XXVI Liceum Ogólnokształcącego z Łodzi, którzy jechali na wycieczkę do Trójmiasta, policja znalazł w środę narkotyki i 14 litrów alkoholu."
W święto Bożego Ciała w Łowiczu odbyła się tradycyjna procesja eucharystyczna.,W święto Bożego Ciała w Łowiczu odbył się tradycyjna procesja eucharystyczna.
Po mszy świętej wyruszyła z bazyliki katedralnej i okrążyła Stary Rynek.,Po mszy świętej wyruszył z bazyliki katedralnej i okrążyła Stary Rynek.
"Miss Turcji pokonała Kolumbijkę Natalię Perelta i Miss Peru Marinę Morę Montero, które zajęły odpowiednio drugie i trzecie miejsce w finale konkursu, transmitowanego do 142 państw świata.","Miss Turcji pokonał Kolumbijkę Natalię Perelta i Miss Peru Marinę Morę Montero, które zajęły odpowiednio drugie i trzecie miejsce w finale konkursu, transmitowanego do 142 państw świata."
Niewytłumaczalna zbrodnia wstrząsnęła Polską.,Niewytłumaczalna zbrodnia wstrząsnął Polską.
5 września po południu 22-letnia Patrycja jak co dzień wyszła na spacer do lasu w Zakrzewie pod Poznaniem.,5 września po południu 22-letnia Patrycja jak co dzień wyszedł na spacer do lasu w Zakrzewie pod Poznaniem.
"Policja podała, że Niemcy znajdowali się poza wytyczonymi szlakami zjazdowymi.","Policja podał, że Niemcy znajdowali się poza wytyczonymi szlakami zjazdowymi."
"Inna lawina w Drefreggental we wschodnim Tyrolu przysypała siedmioosobową grupę austriackich narciarzy, również poruszających się poza wyznaczonymi szlakami.","Inna lawina w Drefreggental we wschodnim Tyrolu przysypał siedmioosobową grupę austriackich narciarzy, również poruszających się poza wyznaczonymi szlakami."
Niezwykle interesująca okazała się wizyta policjantów w mieszkaniach zatrzymanych.,Niezwykle interesująca okazał się wizyta policjantów w mieszkaniach zatrzymanych.
"Wczoraj Rada Europy przestrzegła, że ostatnie napięcia w Macedonii rodzą niebezpieczeństwo wybuchu nowej wojny na Bałkanach.","Wczoraj Rada Europy przestrzegł, że ostatnie napięcia w Macedonii rodzą niebezpieczeństwo wybuchu nowej wojny na Bałkanach."
"Około 50 osób przesłuchała do wczorajszego popołudnia policja w związku z sobotnim napadem na warszawską filię Kredyt Banku, w którym zastrzelono cztery osoby.","Około 50 osób przesłuchał do wczorajszego popołudnia policja w związku z sobotnim napadem na warszawską filię Kredyt Banku, w którym zastrzelono cztery osoby."
"Telewizyjna ""Panorama"" podała wczoraj, że zatrzymano 6 osób.","Telewizyjna ""Panorama"" podał wczoraj, że zatrzymano 6 osób."
"Niespodziewanym incydentem zakończyła się rozprawa w jednym z procesów, toczących się w tutejszym Sądzie Rejonowym.","Niespodziewanym incydentem zakończył się rozprawa w jednym z procesów, toczących się w tutejszym Sądzie Rejonowym."
"Poszła z własnej woli, gdyż dobrze go znała.","Poszedł z własnej woli, gdyż dobrze go znała."
"Msza kanonizacyjna odbyła się w bazylice Matki Bożej z Guadelupe, wzniesionej przy placu Zocalo, jednym z największych na świecie.","Msza kanonizacyjna odbył się w bazylice Matki Bożej z Guadelupe, wzniesionej przy placu Zocalo, jednym z największych na świecie."
Dziewczyna zwabiła Rafała R. do lasu pod Karpiówką.,Dziewczyna zwabił Rafała R. do lasu pod Karpiówką.
"W komitecie wspierającym odbudowę parku znalazła się m.in. Maria Wodzyńska-Walicka, ambasador Polski w Holandii oraz prezydenci partnerskich miast Cor de Vos oraz Janusz Grobel.","W komitecie wspierającym odbudowę parku znalazł się m.in. Maria Wodzyńska-Walicka, ambasador Polski w Holandii oraz prezydenci partnerskich miast Cor de Vos oraz Janusz Grobel."
Młodzież z Mełgwi otrzymała pełnowymiarową halę sportową.,Młodzież z Mełgwi otrzymał pełnowymiarową halę sportową.
Akt oskarżenia w tej sprawie Prokuratura Okręgowa skierowała do gdańskiego sądu rejonowego.,Akt oskarżenia w tej sprawie Prokuratura Okręgowa skierował do gdańskiego sądu rejonowego.
Sprawą zajęła się już prokuratura w Gryficach.,Sprawą zajął się już prokuratura w Gryficach.
W miniony czwartek - w asyście prokuratora i gryfińskich strażaków - policja przeszukała strych zlikwidowanej szkoły.,W miniony czwartek - w asyście prokuratora i gryfińskich strażaków - policja przeszukał strych zlikwidowanej szkoły.
"W Polsce uruchomiła już dwie fabryki, w Grójcu oraz koło Wałbrzycha.","W Polsce uruchomił już dwie fabryki, w Grójcu oraz koło Wałbrzycha."
"Łupem padła złota biżuteria - łańcuszek, zegarek damski marki Omega, dwie bransoletki, dwa naszyjniki, kilka pierścionków z różnymi kamieniami szlachetnymi, a także trzy lub cztery złote monety Republiki Południowej Afryki, dziesięć złotych pięciorublówek oraz dziesięć złotych blaszek dentystycznych.","Łupem padł złota biżuteria - łańcuszek, zegarek damski marki Omega, dwie bransoletki, dwa naszyjniki, kilka pierścionków z różnymi kamieniami szlachetnymi, a także trzy lub cztery złote monety Republiki Południowej Afryki, dziesięć złotych pięciorublówek oraz dziesięć złotych blaszek dentystycznych."
"Finanse sanepidu zbadała komisja, w skład której weszli przedstawiciele Wydziału Zdrowia i Opieki Społecznej UM, referaty kontroli dyrektora Biura Zarządu Miasta, a także działu kontroli budżetowej.","Finanse sanepidu zbadał komisja, w skład której weszli przedstawiciele Wydziału Zdrowia i Opieki Społecznej UM, referaty kontroli dyrektora Biura Zarządu Miasta, a także działu kontroli budżetowej."
W miniony czwartek KRRiTV zdecydowała się nie nakładać kar finansowych na obie stacje (wniosek o nałożenie kary w wysokości 1 mln zł dla TVN i 2 mln zł dla Polsatu złożył jeden z członków Rady Jarosław Sellin).,W miniony czwartek KRRiTV zdecydował się nie nakładać kar finansowych na obie stacje (wniosek o nałożenie kary w wysokości 1 mln zł dla TVN i 2 mln zł dla Polsatu złożył jeden z członków Rady Jarosław Sellin).
W niedzielę rano rozpoczęła się zapowiadana przez władze macedońskie ofensywa przeciwko albańskim separatystom działającym na północy kraju.,W niedzielę rano rozpoczął się zapowiadana przez władze macedońskie ofensywa przeciwko albańskim separatystom działającym na północy kraju.
"O godz. 7 rano czasu lokalnego (równego warszawskiemu) armia rozpoczęła ostrzał wzgórz położonych nieopodal miasta, na których znajdują się pozycje bojowników albańskiej Armii Wyzwolenia Narodowego (UCK).","O godz. 7 rano czasu lokalnego (równego warszawskiemu) armia rozpoczął ostrzał wzgórz położonych nieopodal miasta, na których znajdują się pozycje bojowników albańskiej Armii Wyzwolenia Narodowego (UCK)."
"Z nowym rokiem weszła w życie również ustawa o ochronie osób i mienia, która stawia przed osobami chcącymi pracować jako ochroniarze lub prowadzić agencję ochrony wyższe wymagania.","Z nowym rokiem wszedł w życie również ustawa o ochronie osób i mienia, która stawia przed osobami chcącymi pracować jako ochroniarze lub prowadzić agencję ochrony wyższe wymagania."
"Po serii wybuchów policja znalazła podejrzaną paczkę w centrum handlowym w dzielnicy finansowej Makati, gdzie nastąpiła już jedna eksplozja.","Po serii wybuchów policja znalazł podejrzaną paczkę w centrum handlowym w dzielnicy finansowej Makati, gdzie nastąpiła już jedna eksplozja."
Matka dopiero kilkanaście godzin po zniknięciu synów zgłosiła się po nich.,Matka dopiero kilkanaście godzin po zniknięciu synów zgłosił się po nich.
"W kategorii edukacja ekologiczna - Aleksandra Magdziarek, także z I LO w Zielonej Górze, za pracę ""Trzciel i okolice"" zdobyła czwartą nagrodę.","W kategorii edukacja ekologiczna - Aleksandra Magdziarek, także z I LO w Zielonej Górze, za pracę ""Trzciel i okolice"" zdobył czwartą nagrodę."
"W ubiegłym tygodniu Agencja Rynku Rolnego wystawiła groch konsumpcyjny w ilości 97 ton, którego cena wywoławcza podwyższona została z 740 do 750 zł za tonę.","W ubiegłym tygodniu Agencja Rynku Rolnego wystawił groch konsumpcyjny w ilości 97 ton, którego cena wywoławcza podwyższona została z 740 do 750 zł za tonę."
40-osobowa grupa chuliganów wywołała rozróbę przed sobotnim III-ligowym meczem piłki nożnej Lublinianki z Cracovią.,40-osobowa grupa chuliganów wywołał rozróbę przed sobotnim III-ligowym meczem piłki nożnej Lublinianki z Cracovią.
217 posiedzeń odbyła Rada Ministrów w ciągu czterech lat.,217 posiedzeń odbył Rada Ministrów w ciągu czterech lat.
Wszczęła też śledztwo w sprawie domniemanej korupcji w resorcie obrony.,Wszczął też śledztwo w sprawie domniemanej korupcji w resorcie obrony.
"Rejon katastrofy Kurska opuściła wielozadaniowa jednostka Mayo, która przywiozła na miejsce 80 osób załogi, w tym 25 nurków głębinowych, i bezzałogowy sprzęt.","Rejon katastrofy Kurska opuścił wielozadaniowa jednostka Mayo, która przywiozła na miejsce 80 osób załogi, w tym 25 nurków głębinowych, i bezzałogowy sprzęt."
Produkcja budowlano-montażowa zmniejszyła się w czerwcu br. o 10 proc. w porównaniu z tym samym miesiącem przed rokiem.,Produkcja budowlano-montażowa zmniejszył się w czerwcu br. o 10 proc. w porównaniu z tym samym miesiącem przed rokiem.
"Rzecznik przyznała, że ministerstwa generalnie krytykują założenia przygotowane przez ministra finansów Jarosława Bauca.","Rzecznik przyznał, że ministerstwa generalnie krytykują założenia przygotowane przez ministra finansów Jarosława Bauca."
"- W niektórych przypadkach resorty przedłożyły propozycje, które wręcz zwiększają wydatki budżetu w przyszłym roku - powiedziała Gieros.","- W niektórych przypadkach resorty przedłożyły propozycje, które wręcz zwiększają wydatki budżetu w przyszłym roku - powiedział Gieros."
"W pilskich mistrzostwach Polski ""błotniaków"" (8-9 bm.) w wyścigu juniorek sięgnęła po srebro.","W pilskich mistrzostwach Polski ""błotniaków"" (8-9 bm.) w wyścigu juniorek sięgnął po srebro."
Szopka na kółkach zajechała m.in. do pogotowia opiekuńczego.,Szopka na kółkach zajechał m.in. do pogotowia opiekuńczego.
Krakowska policja odnalazła ciało poszukiwanego od soboty noworodka z Nowej Huty.,Krakowska policja odnalazł ciało poszukiwanego od soboty noworodka z Nowej Huty.
"Wcześniej policja dotarła do mieszkania 36-letniej kobiety, matki siedmiorga dzieci, która ostatnio chodziła w widocznej ciąży, potem prawdopodobnie urodziła, ale dziecka nie miała.","Wcześniej policja dotarł do mieszkania 36-letniej kobiety, matki siedmiorga dzieci, która ostatnio chodziła w widocznej ciąży, potem prawdopodobnie urodziła, ale dziecka nie miała."
"Tragedia, która wstrząsnęła opinią publiczną, przyczyniła się do tego, że na nowo rozgorzała debata o karze śmierci.","Tragedia, która wstrząsnęła opinią publiczną, przyczynił się do tego, że na nowo rozgorzała debata o karze śmierci."
"Wezwana na miejsce żandarmeria wojskowa stwierdziła, że skrzynki, w których przechowywane były materiały wybuchowe, są puste.","Wezwana na miejsce żandarmeria wojskowa stwierdził, że skrzynki, w których przechowywane były materiały wybuchowe, są puste."
O sytuacji dzieci poinformowała szpital przypadkowa osoba.,O sytuacji dzieci poinformował szpital przypadkowa osoba.
